REGIME WAVE  arm=keith_yield900  status=done  dry_run=False  games=25  wall=2.23 h
  endpoint https://a-m-mobasher--arc3-flashnext-serve.modal.run/v1  model Qwen/Qwen3.8-Flash-Next-NVFP4
  IDENTITY profile 'kv5-bf16-mtp3-c8-cg32' (expected 'kv5-bf16-mtp3-c8-cg32', ok=True) | gpu ok=True ['0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97887 MiB, 580.95.05, 12.0']
  geometry conc 28 | 7920 s/game | analyzer_timeout 900 | max_actions None | max_calls None | wave cap 9000 s | public25 geometry: True
  stock agent sha 74ab69105240 (== june_stock pin) | framework f68b6850b242 | pkls pinned
  ARM KNOB  CONTEXT_WINDOW=32768  MAX_OUTPUT=0  UPSCALE=4 ([256, 256] px, ~64 vision tok/img derived)  (yield 900 s, temp 0.6/0.95/20, thinking true); harness-reported {'max_output_tokens': 'server default', 'context_budget_tokens': '31744', 'yield_seconds': '900.0'}
  SCORE 157.86 total | levels 31 (1.24/game) | actions 2881 (115/game) | zero-level games 8 | states {'crashed': 3, 'gave_up': 22}
  CADENCE calls/game 51.0 | turns/game 37.3 | distinct steps/game 24.4 | actions/call 2.26 | calls/turn 1.37
  REASONING chars/call mean 3824 median 2524 p90 9005 (n=1276) | no-tool-call share 1.2% | length-finish share 1.2% | finish {'tool_calls': 1261, 'length': 15}
  TURNS step-executed 62.8% | yielded 4.2% | outcomes {'step_executed': 586, 'yielded': 39, 'request_error': 308}
  CLIENT e2e/call mean 151.4 s median 159.5 s p90 210.7 s | prompt tok/call 20178 | completion tok/call 1510 | redirected posts 745 | post errors 607
  VLLM   requests 1583 | e2e mean 122.2 s | queue 105.7 s | inference 1479.8 s | TPOT 10.2 ms | gen tok/req 1228 | gen tok/s 242 | MTP accept 59.1% | preemptions 181 | prefix hit - | finished {'abort': 0.0, 'error': 298.0, 'length': 17.0, 'repetition': 0.0, 'stop': 1268.0}
  REF keith V14 commit: 55 calls/game, reasoning 3406/2206, 53 turns/game, e2e 142 s, queue 124 s, MTP 60%, 1.44 lv/game, 6.76 pts
  WALL   attempts 0/25 (L2 reached 17; attempt = L2 with >= 30 calls left) | passes 8 (level 3 reached) | void 25 {'ar25-0c556536_p0': ['preemptions=181'], 'bp35-0a0ad940_p0': ['request_errors=895', 'preemptions=181', 'length_finish_share=0.061'], 'cd82-fb555c5d_p0': ['preemptions=181', 'length_finish_share=0.019'], 'cn04-2fe56bfb_p0': ['request_errors=2', 'preemptions=181'], 'dc22-fdcac232_p0': ['request_errors=2', 'preemptions=181'], 'ft09-0d8bbf25_p0': ['request_errors=2', 'preemptions=181'], 'g50t-5849a774_p0': ['request_errors=2', 'preemptions=181', 'length_finish_share=0.020'], 'ka59-38d34dbb_p0': ['request_errors=2', 'preemptions=181', 'length_finish_share=0.020'], 'lf52-271a04aa_p0': ['request_errors=2', 'preemptions=181'], 'lp85-305b61c3_p0': ['preemptions=181', 'length_finish_share=0.038'], 'ls20-9607627b_p0': ['request_errors=2', 'preemptions=181', 'length_finish_share=0.020'], 'm0r0-492f87ba_p0': ['request_errors=2', 'preemptions=181'], 'r11l-495a7899_p0': ['preemptions=181', 'length_finish_share=0.020'], 're86-8af5384d_p0': ['preemptions=181'], 's5i5-18d95033_p0': ['preemptions=181'], 'sb26-7fbdac44_p0': ['preemptions=181'], 'sc25-635fd71a_p0': ['preemptions=181'], 'sk48-d8078629_p0': ['preemptions=181', 'length_finish_share=0.039'], 'sp80-589a99af_p0': ['preemptions=181'], 'su15-1944f8ab_p0': ['preemptions=181'], 'tn36-ef4dde99_p0': ['request_errors=2', 'preemptions=181'], 'tr87-cd924810_p0': ['preemptions=181'], 'tu93-0768757b_p0': ['preemptions=181', 'length_finish_share=0.038'], 'vc33-5430563c_p0': ['preemptions=181', 'length_finish_share=0.019'], 'wa30-ee6fef47_p0': ['request_errors=2', 'preemptions=181']} | calls@L2 {'ar25-0c556536_p0': 6, 'bp35-0a0ad940_p0': 42, 'cd82-fb555c5d_p0': None, 'cn04-2fe56bfb_p0': 15, 'dc22-fdcac232_p0': None, 'ft09-0d8bbf25_p0': 14, 'g50t-5849a774_p0': None, 'ka59-38d34dbb_p0': 14, 'lf52-271a04aa_p0': 19, 'lp85-305b61c3_p0': 10, 'ls20-9607627b_p0': 37, 'm0r0-492f87ba_p0': None, 'r11l-495a7899_p0': 8, 're86-8af5384d_p0': 13, 's5i5-18d95033_p0': 27, 'sb26-7fbdac44_p0': 6, 'sc25-635fd71a_p0': None, 'sk48-d8078629_p0': None, 'sp80-589a99af_p0': None, 'su15-1944f8ab_p0': 10, 'tn36-ef4dde99_p0': None, 'tr87-cd924810_p0': None, 'tu93-0768757b_p0': 14, 'vc33-5430563c_p0': 14, 'wa30-ee6fef47_p0': 20} | UPTAKE wall 1.3% (9/681) all 1.6%
  FIRST-CALL prompt_tokens (n_messages==2) mean 4052 n=25 [4052..4062] | keith baseline ~4050 | delta +2 | UPSCALE=4: up8 expects ≈ +192 (+0 => processor downscaled = no-op; >> => geometry differs)
  run               lv/n    act  calls turns reas_mean  len%  notool%  e2e_s   score  retry  evid  hypo  wall%  upt%  c@L2 att void  state
  ar25-0c556536_p0    2/8    130    45    29      4355      -       -  154.4    8.33    0/0     0     0   0.0%  0.0%     6   - VOID  crashed
  bp35-0a0ad940_p0    1/9     41    49   316      2145   6.1%    6.1%  145.5    0.61    0/0     0     0   0.0%  0.0%    42   - VOID  gave_up
  cd82-fb555c5d_p0    0/6     88    54    37      3408   1.9%    1.9%  147.1    0.00    0/0     0     0   0.0%  0.0%  None   - VOID  gave_up
  cn04-2fe56bfb_p0    1/6     84    52    26      4062      -       -  150.3    3.91    0/0     0     0   0.0%  0.0%    15   - VOID  gave_up
  dc22-fdcac232_p0    0/6    176    51    30      3294      -       -  152.3    0.00    0/0     0     0   0.0%  3.3%  None   - VOID  gave_up
  ft09-0d8bbf25_p0    3/6     48    52    20      3098      -       -  151.4   28.57    0/0     0     0   0.0%  0.0%    14   - VOID  gave_up
  g50t-5849a774_p0    0/7    149    51    18      4518   2.0%    2.0%  153.9    0.00    0/0     0     0   0.0% 11.1%  None   - VOID  gave_up
  ka59-38d34dbb_p0    1/7    121    51    29      5104   2.0%    2.0%  154.3    3.57    0/0     0     0   0.0%  0.0%    14   - VOID  gave_up
  lf52-271a04aa_p0   1/10    102    54    32      2601      -       -  146.2    1.82    0/0     0     0   0.0%  0.0%    19   - VOID  gave_up
  lp85-305b61c3_p0    5/8     97    52    25      3220   3.8%    3.8%  151.9   41.67    0/0     0     0   0.0%  0.0%    10   - VOID  gave_up
  ls20-9607627b_p0    1/7     47    51    17      4561   2.0%    2.0%  152.9    2.06    0/0     0     0   0.0%  0.0%    37   - VOID  gave_up
  m0r0-492f87ba_p0    0/6     49    51    16      3449      -       -  154.3    0.00    0/0     0     0   0.0%  0.0%  None   - VOID  gave_up
  r11l-495a7899_p0    2/6     58    51    19      5422   2.0%    2.0%  157.5   12.30    0/0     0     0   0.0% 40.0%     8   - VOID  gave_up
  re86-8af5384d_p0    3/8    155    53    29      2191      -       -  148.4   16.67    0/0     0     0   0.0%  0.0%    13   - VOID  gave_up
  s5i5-18d95033_p0    2/8    114    54    32      3584      -       -  148.3    6.66    0/0     0     0   0.0%  0.0%    27   - VOID  gave_up
  sb26-7fbdac44_p0    1/8    105    45    23      4593      -       -  155.9    2.78    0/0     0     0   0.0%  0.0%     6   - VOID  crashed
  sc25-635fd71a_p0    0/6     63    52    21      4361      -       -  153.4    0.00    0/0     0     0   0.0%  0.0%  None   - VOID  gave_up
  sk48-d8078629_p0    0/8    131    51    28      4143   3.9%    3.9%  154.5    0.00    0/0     0     0   0.0%  0.0%  None   - VOID  gave_up
  sp80-589a99af_p0    1/6    253    42    32      3780      -       -  149.7    0.12    0/0     0     0      -     -  None   - VOID  crashed
  su15-1944f8ab_p0    1/9     64    54    32      3691      -       -  147.4    2.22    0/0     0     0   0.0%  4.0%    10   - VOID  gave_up
  tn36-ef4dde99_p0    0/7    214    50    29      5902      -       -  156.7    0.00    0/0     0     0   0.0%  0.0%  None   - VOID  gave_up
  tr87-cd924810_p0    0/6    107    53    12      3971      -       -  151.4    0.00    0/0     0     0   0.0%  0.0%  None   - VOID  gave_up
  tu93-0768757b_p0    2/9     82    53    13      4398   3.8%    3.8%  150.2    2.93    0/0     0     0   0.0% 50.0%    14   - VOID  gave_up
  vc33-5430563c_p0    3/7     92    52    29      3665   1.9%    1.9%  152.5   21.43    0/0     0     0   0.0%  0.0%    14   - VOID  gave_up
  wa30-ee6fef47_p0    1/9    311    53    39      2433      -       -  146.3    2.22    0/0     0     0   0.0%  4.0%    20   - VOID  gave_up
